subjID,"Two stimulus and action values, two learning rates","One stimulus and action value, one learning rate","One stimulus and action value, one learning rate, w"
700,495.220936874263,482.326262984218,488.902824006124
701,474.592000966743,465.640886662389,472.057541466583
702,91.8511012769629,78.6557865316292,109.409326857908
703,328.821431588464,318.458391177805,321.22724213031
704,472.370066122977,461.091124253706,466.862714076262
705,442.665885657678,426.993985327424,431.138628055308
707,305.602796145598,340.118804572839,306.447681566695
709,371.192258254542,422.741749770035,379.127078270247
710,458.899671837019,454.336421663396,458.038674034171
711,214.88629380915,310.564244871881,313.347197734001
712,293.22641742444,297.361010552755,278.569441771241
713,261.989870104762,322.863370064295,326.869569818132
714,436.516963856386,445.881177986095,444.825672396105
715,247.993620743429,282.876982261779,282.885633574791
719,320.343675948071,363.376476737448,308.133022418996
721,286.625259316181,351.851227304692,340.786926251544
722,513.660463712444,502.426153836142,508.302566667857
724,473.484963144093,472.277433366111,470.181602835011
725,212.277998594905,292.317327273434,220.248670387609
726,427.262348117761,446.150235612288,447.795409512808
727,362.219373801154,367.275598602318,369.580919348302
728,333.868462401952,365.040153292188,365.716157122764
729,201.137016664135,317.693913308885,209.134056817732
730,417.314702108026,429.66949642007,427.530535774391
732,334.40847660711,370.862778840563,346.188645974412
733,268.121281463808,334.728333915764,327.359144014426
734,306.262734496151,334.151050890723,306.662119111205
735,448.89776001968,449.613556517849,449.68587230016
736,422.783944366604,448.384650196437,431.03853096606
737,48.4180426482221,52.3830450283077,54.2220536347931
738,365.429078696397,371.92497328987,369.012660871637
739,434.766072630407,454.337578524024,447.129123252059
740,269.522498750069,370.579964822403,325.082435458154
741,440.925901678753,433.058660275257,437.542286242212
742,253.731614661654,311.073341588172,273.410121543496
743,436.765297416233,450.226186154291,462.081631350692
744,411.436861853232,434.237276622582,432.074153520905
745,419.208742114178,455.250832405954,453.268430108613
746,368.859398550747,422.758678571949,407.264163742609
748,353.232934825003,396.798275296912,392.44291179238
749,408.450103883299,428.436643289497,423.247812154279
750,333.667401222991,367.260421037462,363.973949069913
751,368.634465764961,385.152366031686,380.380288840674
752,347.139920411018,372.138048595074,363.754897862156
753,311.977670060835,319.718773785142,324.228772118786
754,464.314924828243,464.317257153334,476.387544341676
756,316.364965691465,344.237994281573,339.519621193193
757,283.776309956341,286.915306984058,290.82072203142
760,343.243535800846,346.416411859223,348.696183461107
761,333.335187373407,349.356854104232,340.186571857952
762,425.510494122267,453.756083446791,432.64192723468
763,386.622310119929,400.96401222078,400.049730126633
764,374.610545606132,377.519175312465,367.417871906632
766,218.29835003165,296.751332876879,293.193120035337
768,374.653622076389,381.458863160082,368.492361062566
769,442.281968631659,454.225667063212,453.851126606989
770,487.477968952769,476.883877948175,482.541306687212
771,324.474495363157,354.076860618182,342.142443543065
772,439.850124395675,456.037057685052,451.660950928086
773,459.251729604866,453.30172059743,456.477019808844
774,286.203997820322,331.002150316846,332.835816716399
775,472.767564266028,466.963896168529,469.143407115654
776,389.930707755122,400.120839184172,391.566226920233
777,401.104888334825,412.252824636864,411.615924283004
779,355.514096390412,393.252550841632,378.440948402065
780,197.503260703533,165.499930849282,150.895909303643
781,300.249222654022,390.932889229366,386.766637546043
783,463.778767450033,470.977490117128,470.693777795746
784,296.106603132473,335.605805397316,303.731616768121
785,439.82258693726,465.011729665664,452.504665754673
786,345.337292348916,389.515907193211,394.29432994651
1783,428.336538064767,462.760166317186,471.712481486107
788,398.037273272101,393.261411334618,396.83501364887
790,357.519420689249,397.296922630326,353.539379793635
791,294.812034658427,359.53883981844,358.721888569622
792,484.606599185847,478.715809763412,484.385069410763
794,412.027317754746,434.947828021819,435.594235625638
795,299.498421303008,362.931643569938,306.957796659531
796,493.163536834594,496.263000701306,501.438640790957
797,276.047231304338,371.744622697058,274.241690024206
798,238.342740303866,324.270747626179,265.291401650774
799,294.227501697634,315.362070993128,317.029671287431
801,375.313304332418,420.560522614072,431.922100467014
802,436.956668266249,439.738180876963,443.841546756825
803,463.357773511374,434.241330074608,449.325126496767
804,325.380565355523,356.336816455513,336.213096429788
805,309.448195983903,331.768932754008,316.717723325464
806,459.399258741355,456.969076937719,461.425160904699
807,384.768400543204,390.813100967792,398.332103902482
808,481.43074595546,471.961738929227,473.887418000691
