subj_i,state,block,reward,action,w
754,1,5050,1,1,0.5
754,3,5050,1,1,0.5
754,1,5050,1,2,0.5
754,2,5050,-1,2,0.457591072381301
754,2,5050,0,1,0.457591072381301
754,2,5050,0,1,0.44784681572713
754,3,5050,1,1,0.438508907713188
754,3,5050,0,1,0.438508907713188
754,2,5050,-1,1,0.438508907713188
754,2,5050,-1,1,0.458075929711089
754,3,5050,0,2,0.475103114109504
754,4,5050,-1,2,0.511914169607898
754,2,5050,-1,1,0.511914169607898
754,4,5050,-1,1,0.526861555719608
754,3,5050,1,1,0.545822613853573
754,4,5050,0,1,0.537088605426489
754,2,5050,-1,1,0.527668183169705
754,3,5050,1,1,0.540840575297585
754,2,5050,-1,1,0.532390549182289
754,1,5050,0,1,0.544121538191203
754,1,5050,1,1,0.559803587043324
754,1,5050,1,1,0.513370952443877
754,1,5050,0,1,0.460386748455174
754,2,5050,-1,2,0.472035296577583
754,2,5050,0,1,0.521128399700583
754,4,5050,-1,2,0.505951926168956
754,4,5050,-1,1,0.513273249661095
754,2,5050,0,1,0.54461405568979
754,2,5050,-1,1,0.52995624824999
754,1,5050,1,2,0.550863711468468
754,2,5050,-1,1,0.374010942153386
754,3,5050,0,1,0.392069957861452
754,3,5050,1,2,0.393311882495554
754,3,5050,0,1,0.211625441148592
754,4,5050,0,2,0.218985589975075
754,2,5050,0,1,0.210937371802593
754,1,5050,1,1,0.202062146313345
754,1,5050,0,2,0.126931812551704
754,4,5050,-1,1,0.149764340569026
754,4,5050,-1,2,0.159922596615746
754,1,5050,0,1,0.177415736563275
754,3,5050,1,1,0.189190580352301
754,4,5050,0,2,0.142963912845255
754,3,5050,0,2,0.134046776617424
754,1,5050,0,2,0.165154359939062
754,4,5050,0,1,0.192319969550722
754,1,5050,1,1,0.184257453487739
754,4,5050,0,2,0.0944097896392822
754,1,5050,1,1,0.0899561211698309
754,4,5050,-1,1,0.0313608807939418
754,3,5050,1,1,0.033086497089042
754,3,5050,0,1,0.0209905756400271
754,1,5050,1,1,0.02169796001711
754,2,5050,0,2,0.00147735598139787
754,1,5050,1,2,0.00132689225213191
754,3,5050,0,1,0.000134409120767453
754,3,5050,1,1,0.00013888706217228
754,4,5050,0,1,6.88763530160666e-05
754,4,5050,-1,2,6.69067978294739e-05
754,4,5050,0,2,7.41114076013935e-05
754,4,5050,0,2,7.0010224096927e-05
754,2,5050,0,2,6.60771998333405e-05
754,3,5050,0,1,5.92254908917085e-05
754,4,5050,-1,1,6.09012625284592e-05
754,4,5050,-1,2,6.31360588567529e-05
754,3,5050,1,2,7.20944959318239e-05
754,4,5050,0,2,1.10724454500697e-06
754,1,5050,1,2,1.02506583075406e-06
754,3,5050,1,1,2.73748423270828e-07
754,1,5050,1,2,1.78892376323214e-07
754,2,5050,-1,2,9.22258177315813e-08
754,2,5050,-1,2,1.10092760585148e-07
754,1,5050,1,1,1.27870774225247e-07
754,3,5050,0,1,3.5216724010177e-07
754,3,5050,1,1,3.38483750345873e-07
754,4,5050,0,2,3.51032549825443e-06
754,3,5050,1,1,3.24935757563111e-06
754,2,5050,0,1,1.00175726530439e-05
754,1,5050,1,1,9.40922645883712e-06
754,1,5050,1,2,0.000236385940260473
754,3,5050,1,1,0.000317322030330843
754,2,5050,-1,2,0.000604588220593491
754,1,5050,0,1,0.00067064536712001
754,4,5050,-1,1,0.000581830571797051
754,1,5050,1,1,0.000588430790356943
754,2,5050,0,1,0.00394841591386659
754,2,5050,0,2,0.00362722006977778
754,3,5050,1,1,0.00346264027779856
754,1,5050,0,2,0.00538861866538515
754,1,5050,0,1,0.0048066162116247
754,4,5050,0,2,0.00422229444998097
754,2,5050,0,2,0.00382495206625087
754,4,5050,-1,2,0.00363496229120451
754,4,5050,0,1,0.00427443884213648
754,2,5050,-1,1,0.00425054600403041
754,1,5050,1,1,0.00458939219365142
754,2,5050,-1,1,0.0157860507202693
754,2,5050,0,2,0.0168497397921795
754,2,5050,0,2,0.0153331511334012
754,3,5050,1,1,0.0139177185041271
754,3,5050,0,2,0.0192962337238524
754,3,5050,1,1,0.0210532582468481
754,4,5050,0,1,0.0266229806229512
754,3,5050,1,1,0.0263342461063268
754,2,5050,-1,1,0.0317077021024028
754,4,5050,0,2,0.0322542477937032
754,3,5050,0,1,0.0302864664326198
754,1,5050,1,2,0.0294440404942758
754,4,5050,-1,1,0.0777584492392838
754,1,5050,1,1,0.0780722973873533
754,2,5050,0,1,0.190852399280823
754,3,5050,0,1,0.189638627310246
754,1,5050,0,1,0.185257911419227
754,1,5050,1,2,0.16531395763431
754,4,5050,-1,2,0.549554435173808
754,1,5050,0,2,0.583646613707338
754,4,5050,-1,1,0.523583376314516
754,3,5050,0,2,0.528482835633173
754,4,5050,0,2,0.541291865942886
754,2,5050,-1,1,0.516758153776538
754,2,5050,0,1,0.52052075171519
754,3,5050,0,1,0.518887472463573
754,4,5050,0,1,0.51267233388304
754,3,5050,1,1,0.514594507651889
754,1,5050,1,2,0.550193264098248
754,1,5050,1,2,0.983715516785229
754,3,5050,0,1,0.998407686227848
754,2,5050,0,1,0.998371344661929
754,2,5050,-1,1,0.998355540694944
754,4,5050,-1,1,0.998383463216957
754,2,5050,-1,1,0.998379461395683
754,2,5050,0,1,0.998397100165132
754,3,5050,0,1,0.998390096875747
754,2,5050,0,1,0.998353524187273
754,4,5050,-1,1,0.998341712245214
754,1,5050,0,2,0.998320715572363
754,4,5050,0,1,0.997887113309462
754,1,5050,0,2,0.997922070845979
754,4,5050,-1,1,0.997396961522089
754,3,5050,1,2,0.997359468746187
754,3,5050,0,2,0.996851155948343
754,2,5050,-1,1,0.996777523815689
754,3,5050,0,2,0.996819017930788
754,1,5050,0,2,0.996737422079097
754,1,5050,0,2,0.995930953088247
754,4,5050,0,1,0.994946236456827
754,2,5050,0,1,0.995033777220141
754,4,5050,-1,1,0.995003434588885
754,4,5050,0,1,0.994924553297292
754,4,5050,-1,2,0.995015837324015
754,3,5050,1,2,0.995821085486551
754,4,5050,-1,1,0.996365972410653
754,1,5050,1,1,0.996378660387492
754,4,5050,0,1,0.998571117211198
754,1,5050,1,2,0.99857576498325
754,2,5050,0,1,0.999745096500689
754,2,5050,-1,1,0.999742918706958
754,1,5050,1,2,0.999746650362237
754,1,5050,0,2,0.999934939394198
754,1,5050,0,2,0.999919222600654
754,4,5050,-1,1,0.999900055846622
754,4,5050,-1,1,0.999900236907609
754,3,5050,0,2,0.999899732133276
754,1,5050,0,2,0.999891211644736
754,3,5050,1,2,0.999865850202376
754,1,5050,0,2,0.999916098508109
754,2,5050,0,1,0.999896874434415
754,3,5050,1,1,0.999896100996174
754,3,5050,0,2,0.999922179607986
754,2,5050,0,1,0.999909937410155
754,4,5050,-1,1,0.999909074747333
754,1,5050,0,2,0.999908054013893
754,3,5050,1,2,0.999887343315344
754,3,5050,1,2,0.999954587451728
754,2,5050,-1,1,0.999988458565367
754,1,5050,1,2,0.999988640826385
754,2,5050,0,1,0.999996424915566
754,3,5050,1,2,0.999996394344039
754,4,5050,0,1,0.999999543680579
754,2,5050,-1,1,0.999999550374099
754,3,8020,0,1,0.0010000064075388
754,1,8020,0,1,0.0010000064075388
754,1,8020,0,1,0.0010000064075388
754,1,8020,1,2,0.0010000064075388
754,1,8020,1,2,0.000925805750688288
754,2,8020,-1,1,0.000859566018821356
754,2,8020,0,2,0.000859566018821356
754,4,8020,-1,2,0.000826442858952693
754,2,8020,0,2,0.000826442858952693
754,4,8020,0,2,0.000795777763426863
754,1,8020,0,1,0.000795777763426863
754,3,8020,1,1,0.000898547468979026
754,2,8020,0,2,0.000898547468979027
754,2,8020,-1,1,0.000866402963455746
754,4,8020,-1,2,0.000776625365939895
754,3,8020,1,1,0.000776625365939895
754,4,8020,0,1,0.000776625365939895
754,1,8020,1,2,0.000734576284972669
754,3,8020,1,1,0.000660993452314152
754,2,8020,-1,1,0.000660993452314152
754,4,8020,-1,2,0.000594777057457552
754,1,8020,1,2,0.000574229085587834
754,3,8020,1,1,0.000518560128965027
754,1,8020,1,2,0.000518560128965026
754,4,8020,0,2,0.000469860146083632
754,4,8020,-1,2,0.000479716966662935
754,3,8020,0,1,0.00046421398143504
754,1,8020,1,2,0.00046421398143504
754,2,8020,-1,1,0.000421939765226215
754,3,8020,0,2,0.000381028952423566
754,1,8020,0,2,0.000490212942714828
754,3,8020,1,1,0.000493467536799402
754,4,8020,-1,2,0.000478019849336048
