subjID,age,Age.Group,gender
ConPit700,8.060232717,Child,M
ConPit701,16.50924025,Teen,M
ConPit702,8.317590691,Child,M
ConPit703,9.01026694,Child,M
ConPit704,9.01026694,Child,M
ConPit705,15.00342231,Teen,M
ConPit707,25.26762491,Adult,F
ConPit709,18.53524983,Adult,F
ConPit710,17.09240246,Teen,F
ConPit711,23.59206023,Adult,F
ConPit712,18.46680356,Adult,M
ConPit713,11.77549624,Child,F
ConPit714,15.27173169,Teen,F
ConPit715,20.06844627,Adult,F
ConPit719,14.67488022,Teen,F
ConPit721,15.06091718,Teen,F
ConPit722,19.19233402,Adult,F
ConPit724,16.42162902,Teen,F
ConPit725,9.596167009,Child,M
ConPit726,11.28268309,Child,M
ConPit727,22.68856947,Adult,F
ConPit728,24.02464066,Adult,F
ConPit729,19.37029432,Adult,F
ConPit730,10.23408624,Child,F
ConPit732,21.80424367,Adult,F
ConPit733,11.3045859,Child,M
ConPit734,9.196440794,Child,F
ConPit735,21.2019165,Adult,F
ConPit736,23.40041068,Adult,M
ConPit737,23.05544148,Adult,M
ConPit738,17.96577687,Teen,F
ConPit739,27.3045859,Adult,M
ConPit740,25.34702259,Adult,F
ConPit741,15.69883641,Teen,F
ConPit742,8.38329911,Child,F
ConPit743,11.76454483,Child,F
ConPit744,11.97809719,Child,F
ConPit745,20.97193703,Adult,M
ConPit746,17.28678987,Teen,F
ConPit748,9.401779603,Child,F
ConPit749,12.88706366,Child,F
ConPit750,11.26625599,Child,M
ConPit751,10.87748118,Child,F
ConPit752,17.64544832,Teen,M
ConPit753,26.24229979,Adult,F
ConPit754,25.15263518,Adult,M
ConPit756,13.79603012,Teen,F
ConPit757,8.761122519,Child,M
ConPit760,16.57768652,Teen,F
ConPit761,12.96919918,Child,M
ConPit762,14.88843258,Teen,M
ConPit763,21.80698152,Adult,M
ConPit764,22.26694045,Adult,M
ConPit766,15.88501027,Teen,M
ConPit768,10.13552361,Child,M
ConPit769,12.90622861,Child,M
ConPit770,8.123203285,Child,F
ConPit771,16.99657769,Teen,F
ConPit772,10.12457221,Child,M
ConPit773,13.32511978,Teen,F
ConPit774,8.955509925,Child,F
ConPit775,14.22861054,Teen,M
ConPit776,10.85284052,Child,M
ConPit777,14.29979466,Teen,M
ConPit779,14.77344285,Teen,F
ConPit780,22.68856947,Adult,M
ConPit781,13.82614648,Teen,M
ConPit783,13.99315537,Teen,F
ConPit784,15.4661191,Teen,M
ConPit785,12.27652293,Child,M
ConPit786,17.2019165,Teen,M
ConPit1783,10.37097878,Child,F
ConPit788,17.24572211,Teen,M
ConPit790,19.70157426,Adult,M
ConPit791,26.55167693,Adult,M
ConPit792,24.55852156,Adult,M
ConPit794,14.09993155,Teen,M
ConPit795,20.79397673,Adult,M
ConPit796,27.34291581,Adult,F
ConPit797,12.30937714,Child,F
ConPit798,18.83641342,Adult,M
ConPit799,16.94455852,Teen,M
ConPit801,9.730321697,Child,F
ConPit802,16.78850103,Teen,M
ConPit803,13.98494182,Teen,M
ConPit804,27.49075975,Adult,M
ConPit805,26.70773443,Adult,F
ConPit806,14.83367556,Teen,F
ConPit807,23.8110883,Adult,F
ConPit808,12.46543463,Child,F
